CHR	Strain	mean_depth	chrlen
3	VFC043	63.84	4323945
4	VFC043	62	3952524
5	VFC043	72.64	3469364
6	VFC043	66.48	3458857
1	VFC052	56.19	8482323
2	VFC052	59.4	5260912
3	VFC052	53.03	4323945
4	VFC052	56.2	3952524
5	VFC052	72.85	3469364
6	VFC052	59.76	3458857
1	WA_211	41.83	8482323
2	WA_211	43.47	5260912
3	WA_211	40.19	4323945
4	WA_211	42.59	3952524
5	WA_211	50.98	3469364
6	WA_211	43.37	3458857
1	WA_221	19.78	8482323
2	WA_221	20.49	5260912
3	WA_221	18.73	4323945
4	WA_221	19.93	3952524
5	WA_221	23.19	3469364
6	WA_221	20.65	3458857
1	Washington_1	39.3	8482323
2	Washington_1	41.04	5260912
3	Washington_1	37.31	4323945
4	Washington_1	39.41	3952524
5	Washington_1	47.54	3469364
6	Washington_1	41.39	3458857
1	h5384	12.21	8482323
2	h5384	12.46	5260912
3	h5384	11.35	4323945
4	h5384	12.02	3952524
5	h5384	14.07	3469364
6	h5384	12.4	3458857
